flight_no.,date_and_time_(utc),"version,_booster[j]",launch_site,payload_mass_kg,payload_mass,orbit,customer,launch_outcome,booster_landing,launch_date
521,"August 26, 2025 18:53[398]",F9 B5 B1063‑27,"Vandenberg, SLC‑4E",7.0,"~1,370 kg (3,020 lb)",SSO,Luxembourg Armed Forces & others,Success,Success (LZ‑4),2025-08-26
521,"National Advanced Optical System (NAOS) is a military reconnaissance satellite for the Luxembourg Armed Forces. Additional rideshare payloads on this mission: LEAP-1, Pelican-3 & 4, Acadia-6 and FFLY-1, 2 & 3.","National Advanced Optical System (NAOS) is a military reconnaissance satellite for the Luxembourg Armed Forces. Additional rideshare payloads on this mission: LEAP-1, Pelican-3 & 4, Acadia-6 and FFLY-1, 2 & 3.","National Advanced Optical System (NAOS) is a military reconnaissance satellite for the Luxembourg Armed Forces. Additional rideshare payloads on this mission: LEAP-1, Pelican-3 & 4, Acadia-6 and FFLY-1, 2 & 3.",1.0,"National Advanced Optical System (NAOS) is a military reconnaissance satellite for the Luxembourg Armed Forces. Additional rideshare payloads on this mission: LEAP-1, Pelican-3 & 4, Acadia-6 and FFLY-1, 2 & 3.","National Advanced Optical System (NAOS) is a military reconnaissance satellite for the Luxembourg Armed Forces. Additional rideshare payloads on this mission: LEAP-1, Pelican-3 & 4, Acadia-6 and FFLY-1, 2 & 3.","National Advanced Optical System (NAOS) is a military reconnaissance satellite for the Luxembourg Armed Forces. Additional rideshare payloads on this mission: LEAP-1, Pelican-3 & 4, Acadia-6 and FFLY-1, 2 & 3.","National Advanced Optical System (NAOS) is a military reconnaissance satellite for the Luxembourg Armed Forces. Additional rideshare payloads on this mission: LEAP-1, Pelican-3 & 4, Acadia-6 and FFLY-1, 2 & 3.","National Advanced Optical System (NAOS) is a military reconnaissance satellite for the Luxembourg Armed Forces. Additional rideshare payloads on this mission: LEAP-1, Pelican-3 & 4, Acadia-6 and FFLY-1, 2 & 3.",
522,"August 27, 2025 11:10[400]",F9 B5 B1095‑2,"Cape Canaveral, SLC‑40",10.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),2025-08-27
522,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 400th droneship landing.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 400th droneship landing.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 400th droneship landing.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 400th droneship landing.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 400th droneship landing.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 400th droneship landing.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 400th droneship landing.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 400th droneship landing.,
523,"August 28, 2025 08:12[401]",F9 B5 B1067‑30,"Kennedy, LC‑39A",10.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),2025-08-28
523,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly 30 missions.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly 30 missions.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly 30 missions.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly 30 missions.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly 30 missions.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly 30 missions.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly 30 missions.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly 30 missions.,
524,"August 30, 2025 04:59[402]",F9 B5 B1082‑15,"Vandenberg, SLC‑4E",17.0,"~17,500 kg (38,600 lb)",SSO,SpaceX,Success,Success (OCISLY),2025-08-30
524,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,24.0,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,
525,"August 31, 2025 11:49[403]",F9 B5 B1077‑23,"Cape Canaveral, SLC‑40",10.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),2025-08-31
525,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,
526,"September 3, 2025 03:51[404]",F9 B5 B1097‑1,"Vandenberg, SLC‑4E",17.0,"~17,500 kg (38,600 lb)",SSO,SpaceX,Success,Success (OCISLY),2025-09-03
526,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,24.0,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,
527,"September 3, 2025 11:56[405]",F9 B5 B1083‑14,"Cape Canaveral, SLC‑40",10.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),2025-09-03
527,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 1st time flying a fairing half for the 33rd time.[406],Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 1st time flying a fairing half for the 33rd time.[406],Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 1st time flying a fairing half for the 33rd time.[406],28.0,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 1st time flying a fairing half for the 33rd time.[406],Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 1st time flying a fairing half for the 33rd time.[406],Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 1st time flying a fairing half for the 33rd time.[406],Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 1st time flying a fairing half for the 33rd time.[406],Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 1st time flying a fairing half for the 33rd time.[406],
528,"September 5, 2025 12:32[407]",F9 B5 B1069‑27,"Kennedy, LC‑39A",10.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),2025-09-05
528,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 500th landing of a Falcon booster.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 500th landing of a Falcon booster.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 500th landing of a Falcon booster.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 500th landing of a Falcon booster.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 500th landing of a Falcon booster.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 500th landing of a Falcon booster.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 500th landing of a Falcon booster.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 500th landing of a Falcon booster.,
529,"September 6, 2025 18:06[408]",F9 B5 B1075‑20,"Vandenberg, SLC‑4E",17.0,"~17,500 kg (38,600 lb)",SSO,SpaceX,Success,Success (OCISLY),2025-09-06
529,"Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation. 2000th Starlink satellite launched this year. 300th dedicated Starlink launch. 150th successful landing on SpaceX's droneship, Of Course I Still Love You.","Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation. 2000th Starlink satellite launched this year. 300th dedicated Starlink launch. 150th successful landing on SpaceX's droneship, Of Course I Still Love You.","Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation. 2000th Starlink satellite launched this year. 300th dedicated Starlink launch. 150th successful landing on SpaceX's droneship, Of Course I Still Love You.",24.0,"Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation. 2000th Starlink satellite launched this year. 300th dedicated Starlink launch. 150th successful landing on SpaceX's droneship, Of Course I Still Love You.","Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation. 2000th Starlink satellite launched this year. 300th dedicated Starlink launch. 150th successful landing on SpaceX's droneship, Of Course I Still Love You.","Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation. 2000th Starlink satellite launched this year. 300th dedicated Starlink launch. 150th successful landing on SpaceX's droneship, Of Course I Still Love You.","Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation. 2000th Starlink satellite launched this year. 300th dedicated Starlink launch. 150th successful landing on SpaceX's droneship, Of Course I Still Love You.","Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation. 2000th Starlink satellite launched this year. 300th dedicated Starlink launch. 150th successful landing on SpaceX's droneship, Of Course I Still Love You.",
530,"September 10, 2025 14:12[409]",F9 B5 B1093‑6,"Vandenberg, SLC‑4E",1.0,Unknown,Polar LEO,SDA,Success,Success (OCISLY),2025-09-10
530,Launch part of Phase 2 US Space Force contract awarded in 2022.[410],Launch part of Phase 2 US Space Force contract awarded in 2022.[410],Launch part of Phase 2 US Space Force contract awarded in 2022.[410],2.0,Launch part of Phase 2 US Space Force contract awarded in 2022.[410],Launch part of Phase 2 US Space Force contract awarded in 2022.[410],Launch part of Phase 2 US Space Force contract awarded in 2022.[410],Launch part of Phase 2 US Space Force contract awarded in 2022.[410],Launch part of Phase 2 US Space Force contract awarded in 2022.[410],
531,"September 12, 2025 01:56[411]",F9 B5 B1078‑23,"Cape Canaveral, SLC‑40",,"~7,800 kg (17,200 lb)[412]",GTO,PT Pasifik Satelit Nusantara,Success,Success (ASOG),2025-09-12
531,A hot backup system for SATRIA-1.[413],A hot backup system for SATRIA-1.[413],A hot backup system for SATRIA-1.[413],1.0,A hot backup system for SATRIA-1.[413],A hot backup system for SATRIA-1.[413],A hot backup system for SATRIA-1.[413],A hot backup system for SATRIA-1.[413],A hot backup system for SATRIA-1.[413],
532,"September 13, 2025 17:55[414]",F9 B5 B1071‑28,"Vandenberg, SLC‑4E",17.0,"~17,500 kg (38,600 lb)",SSO,SpaceX,Success,Success (OCISLY),2025-09-13
532,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,24.0,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,
533,"September 14, 2025 22:11[415]",F9 B5 B1094‑4,"Cape Canaveral, SLC‑40",23.0,"5,000 kg (11,000 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑2),2025-09-14
533,"ISS cargo resupply mission for Northrop Grumman's Cygnus spacecraft. The originally planned Cygnus NG-22 spacecraft was damaged during shipment to Cape Canaveral, delaying the launch. First flight of extended Cygnus XL spacecraft. Third of four missions scheduled to fly on a Falcon 9 rocket.[416]","ISS cargo resupply mission for Northrop Grumman's Cygnus spacecraft. The originally planned Cygnus NG-22 spacecraft was damaged during shipment to Cape Canaveral, delaying the launch. First flight of extended Cygnus XL spacecraft. Third of four missions scheduled to fly on a Falcon 9 rocket.[416]","ISS cargo resupply mission for Northrop Grumman's Cygnus spacecraft. The originally planned Cygnus NG-22 spacecraft was damaged during shipment to Cape Canaveral, delaying the launch. First flight of extended Cygnus XL spacecraft. Third of four missions scheduled to fly on a Falcon 9 rocket.[416]",22.0,"ISS cargo resupply mission for Northrop Grumman's Cygnus spacecraft. The originally planned Cygnus NG-22 spacecraft was damaged during shipment to Cape Canaveral, delaying the launch. First flight of extended Cygnus XL spacecraft. Third of four missions scheduled to fly on a Falcon 9 rocket.[416]","ISS cargo resupply mission for Northrop Grumman's Cygnus spacecraft. The originally planned Cygnus NG-22 spacecraft was damaged during shipment to Cape Canaveral, delaying the launch. First flight of extended Cygnus XL spacecraft. Third of four missions scheduled to fly on a Falcon 9 rocket.[416]","ISS cargo resupply mission for Northrop Grumman's Cygnus spacecraft. The originally planned Cygnus NG-22 spacecraft was damaged during shipment to Cape Canaveral, delaying the launch. First flight of extended Cygnus XL spacecraft. Third of four missions scheduled to fly on a Falcon 9 rocket.[416]","ISS cargo resupply mission for Northrop Grumman's Cygnus spacecraft. The originally planned Cygnus NG-22 spacecraft was damaged during shipment to Cape Canaveral, delaying the launch. First flight of extended Cygnus XL spacecraft. Third of four missions scheduled to fly on a Falcon 9 rocket.[416]","ISS cargo resupply mission for Northrop Grumman's Cygnus spacecraft. The originally planned Cygnus NG-22 spacecraft was damaged during shipment to Cape Canaveral, delaying the launch. First flight of extended Cygnus XL spacecraft. Third of four missions scheduled to fly on a Falcon 9 rocket.[416]",
534,"September 18, 2025 09:30[417]",F9 B5 B1092‑7,"Cape Canaveral, SLC‑40",10.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),2025-09-18
534,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,
535,"September 19, 2025 16:31[418]",F9 B5 B1088‑10,"Vandenberg, SLC‑4E",17.0,"~17,500 kg (38,600 lb)",SSO,SpaceX,Success,Success (OCISLY),2025-09-19
535,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,24.0,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,
536,"September 21, 2025 10:53[419]",F9 B5 B1085‑11,"Cape Canaveral, SLC‑40",10.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),2025-09-21
536,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,
537,"September 22, 2025 17:38[420]",F9 B5 B1081‑18,"Vandenberg, SLC‑4E",48.0,Unknown,LEO,NRO,Success,Success (LZ‑4),2025-09-22
537,Eleventh launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Eleventh launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Eleventh launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,,Eleventh launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Eleventh launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Eleventh launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Eleventh launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,Eleventh launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,
538,"September 24, 2025 11:30[421]",F9 B5 B1096‑2,"Kennedy, LC‑39A",422.0,"1,477 kg (3,256 lb)",Sun–Earth L1,NASA,Success,Success (JRTI),2025-09-24
538,"In September 2020, NASA selected SpaceX to launch the IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads include the Carruthers Geocorona Observatory and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.","In September 2020, NASA selected SpaceX to launch the IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads include the Carruthers Geocorona Observatory and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.","In September 2020, NASA selected SpaceX to launch the IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads include the Carruthers Geocorona Observatory and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.",2020.0,"In September 2020, NASA selected SpaceX to launch the IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads include the Carruthers Geocorona Observatory and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.","In September 2020, NASA selected SpaceX to launch the IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads include the Carruthers Geocorona Observatory and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.","In September 2020, NASA selected SpaceX to launch the IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads include the Carruthers Geocorona Observatory and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.","In September 2020, NASA selected SpaceX to launch the IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads include the Carruthers Geocorona Observatory and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.","In September 2020, NASA selected SpaceX to launch the IMAP mission, which will help researchers better understand the boundary of the heliosphere, a magnetic barrier surrounding our solar system. The total launch cost is approximately US$109.4 million. The secondary payloads include the Carruthers Geocorona Observatory and the National Oceanic and Atmospheric Administration's Space Weather Follow On-Lagrange 1 (SWFO-L1) mission.",
539,"September 25, 2025 08:39[423]",F9 B5 B1080‑22,"Cape Canaveral, SLC‑40",10.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),2025-09-25
539,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,
540,"September 26, 2025 04:26[424]",F9 B5 B1082‑16,"Vandenberg, SLC‑4E",17.0,"~17,500 kg (38,600 lb)",SSO,SpaceX,Success,Success (OCISLY),2025-09-26
540,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,24.0,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,Launch of 24 Starlink v2 mini satellites to a 281 km (175 mi) orbit at an inclination of 97° to expand internet constellation.,
541,"September 29, 2025 02:04[425]",F9 B5 B1063‑28,"Vandenberg, SLC‑4E",11.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY),2025-09-29
541,Launch of 28 Starlink v2 mini optimized satellites to a 295 km (183 mi) orbit at an inclination of 53° to expand internet constellation. First time SpaceX conducted 8 West Coast launches in a single calendar month.,Launch of 28 Starlink v2 mini optimized satellites to a 295 km (183 mi) orbit at an inclination of 53° to expand internet constellation. First time SpaceX conducted 8 West Coast launches in a single calendar month.,Launch of 28 Starlink v2 mini optimized satellites to a 295 km (183 mi) orbit at an inclination of 53° to expand internet constellation. First time SpaceX conducted 8 West Coast launches in a single calendar month.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 295 km (183 mi) orbit at an inclination of 53° to expand internet constellation. First time SpaceX conducted 8 West Coast launches in a single calendar month.,Launch of 28 Starlink v2 mini optimized satellites to a 295 km (183 mi) orbit at an inclination of 53° to expand internet constellation. First time SpaceX conducted 8 West Coast launches in a single calendar month.,Launch of 28 Starlink v2 mini optimized satellites to a 295 km (183 mi) orbit at an inclination of 53° to expand internet constellation. First time SpaceX conducted 8 West Coast launches in a single calendar month.,Launch of 28 Starlink v2 mini optimized satellites to a 295 km (183 mi) orbit at an inclination of 53° to expand internet constellation. First time SpaceX conducted 8 West Coast launches in a single calendar month.,Launch of 28 Starlink v2 mini optimized satellites to a 295 km (183 mi) orbit at an inclination of 53° to expand internet constellation. First time SpaceX conducted 8 West Coast launches in a single calendar month.,
542,"October 3, 2025 14:06[426]",F9 B5 B1097‑2,"Vandenberg, SLC‑4E",11.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY),2025-10-03
